"dc (V)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 0.5) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 0.6666667) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 0.8333333) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 1.0) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 1.1) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 1.166667) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 1.333333) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 1.5) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 1.666667) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 1.833333) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 2.0) (A)"
2.178,277.3E-9,4.343E-6,10.8E-6,10.26E-6,10.09E-6,10.06E-6,10.04E-6,10.05E-6,10.12E-6,10.24E-6,10.39E-6
2.244,280.9E-9,4.379E-6,10.85E-6,10.27E-6,10.09E-6,10.06E-6,10.04E-6,10.05E-6,10.12E-6,10.25E-6,10.39E-6
2.310,284.6E-9,4.415E-6,10.9E-6,10.28E-6,10.1E-6,10.06E-6,10.04E-6,10.05E-6,10.12E-6,10.25E-6,10.4E-6
2.376,288.4E-9,4.452E-6,10.95E-6,10.29E-6,10.1E-6,10.07E-6,10.04E-6,10.05E-6,10.12E-6,10.25E-6,10.4E-6
2.442,292.2E-9,4.49E-6,11.0E-6,10.31E-6,10.11E-6,10.07E-6,10.05E-6,10.05E-6,10.12E-6,10.25E-6,10.4E-6
2.508,296.1E-9,4.528E-6,11.05E-6,10.32E-6,10.11E-6,10.08E-6,10.05E-6,10.06E-6,10.13E-6,10.25E-6,10.4E-6
2.574,300.1E-9,4.568E-6,11.1E-6,10.33E-6,10.12E-6,10.08E-6,10.05E-6,10.06E-6,10.13E-6,10.25E-6,10.4E-6
2.640,304.2E-9,4.609E-6,11.16E-6,10.35E-6,10.13E-6,10.09E-6,10.06E-6,10.06E-6,10.13E-6,10.25E-6,10.4E-6
2.706,308.4E-9,4.651E-6,11.22E-6,10.37E-6,10.14E-6,10.09E-6,10.06E-6,10.06E-6,10.13E-6,10.26E-6,10.4E-6
2.772,312.8E-9,4.695E-6,11.28E-6,10.38E-6,10.15E-6,10.1E-6,10.06E-6,10.07E-6,10.13E-6,10.26E-6,10.4E-6
2.838,317.3E-9,4.741E-6,11.35E-6,10.41E-6,10.16E-6,10.11E-6,10.07E-6,10.07E-6,10.13E-6,10.26E-6,10.41E-6
2.904,322.1E-9,4.789E-6,11.41E-6,10.43E-6,10.17E-6,10.12E-6,10.08E-6,10.07E-6,10.14E-6,10.26E-6,10.41E-6
2.970,327.0E-9,4.84E-6,11.49E-6,10.46E-6,10.19E-6,10.14E-6,10.09E-6,10.08E-6,10.14E-6,10.26E-6,10.41E-6
3.036,332.2E-9,4.894E-6,11.57E-6,10.49E-6,10.21E-6,10.15E-6,10.1E-6,10.09E-6,10.14E-6,10.27E-6,10.41E-6
3.102,337.7E-9,4.951E-6,11.65E-6,10.52E-6,10.23E-6,10.17E-6,10.11E-6,10.09E-6,10.15E-6,10.27E-6,10.41E-6
3.168,343.4E-9,5.012E-6,11.75E-6,10.56E-6,10.26E-6,10.19E-6,10.12E-6,10.1E-6,10.16E-6,10.27E-6,10.42E-6
3.234,349.5E-9,5.077E-6,11.85E-6,10.6E-6,10.29E-6,10.22E-6,10.14E-6,10.12E-6,10.16E-6,10.28E-6,10.42E-6
3.300,355.9E-9,5.146E-6,11.95E-6,10.65E-6,10.33E-6,10.25E-6,10.16E-6,10.13E-6,10.17E-6,10.28E-6,10.42E-6
