"dc (V)","I8:2 (Vcas=5.00e-01) (A)","I8:2 (Vcas=6.67e-01) (A)","I8:2 (Vcas=8.33e-01) (A)","I8:2 (Vcas=1.00e+00) (A)","I8:2 (Vcas=1.10e+00) (A)","I8:2 (Vcas=1.17e+00) (A)","I8:2 (Vcas=1.33e+00) (A)","I8:2 (Vcas=1.50e+00) (A)","I8:2 (Vcas=1.67e+00) (A)","I8:2 (Vcas=1.83e+00) (A)","I8:2 (Vcas=2.00e+00) (A)"
2.376,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6
2.442,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6
2.508,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6
2.574,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6,10.18E-6
2.640,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6
2.706,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6
2.772,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6
2.838,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6
2.904,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6,10.19E-6
2.970,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6
3.036,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6
3.102,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6,10.20E-6
3.168,10.21E-6,10.21E-6,10.21E-6,10.21E-6,10.21E-6,10.21E-6,10.21E-6,10.21E-6,10.21E-6,10.21E-6,10.21E-6
3.234,10.21E-6,10.21E-6,10.21E-6,10.21E-6,10.21E-6,10.21E-6,10.21E-6,10.21E-6,10.21E-6,10.21E-6,10.21E-6
3.300,10.22E-6,10.22E-6,10.22E-6,10.22E-6,10.22E-6,10.22E-6,10.22E-6,10.22E-6,10.22E-6,10.22E-6,10.22E-6
